relpath,mode,cfg,policy,traces,runtime_s,ipc_system,ipc_mean_core,l1_miss_pct,l2_miss_pct,llc_miss_pct,llc_hit_rate,llc_writes,l1_access,l2_access,llc_access,l1_miss,l2_miss,llc_miss,llc_hit,total_instr,total_cycles,label
task2_multicore/size_sweep/1MB_16way/lru/output.log,size,1MB_16way,,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",341.0,0.8567972649665213,0.5788424999999999,8.537996662762817,37.018778065229554,35.38383871883026,64.61616128116974,547502.0,15116696.0,2186647.0,1356885.0,1290663.0,809470.0,480118.0,876767.0,40000007.0,46685498.0,1MB 16way
task2_multicore/size_sweep/2MB_16way/lru/output.log,size,2MB_16way,,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",342.0,0.9286126622808301,0.65925825,8.542726838772296,37.022435067815564,27.807033383327866,72.19296661667214,547350.0,15108396.0,2186666.0,1356815.0,1290669.0,809557.0,377290.0,979525.0,40000009.0,43075020.0,2MB 16way
task2_multicore/size_sweep/4MB_16way/lru/output.log,size,4MB_16way,,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",334.0,1.034369398002059,0.82254775,8.528308614148859,37.01943370383666,24.414902830859724,75.58509716914028,547254.0,15133927.0,2186665.0,1356655.0,1290668.0,809491.0,331226.0,1025429.0,40000009.0,38670913.0,4MB 16way
task2_multicore/size_sweep/8MB_16way/lru/output.log,size,8MB_16way,,"619.lbm_s-3766B, 403.gcc-16B, 401.bzip2-277B, 620.omnetpp_s-874B",309.0,1.2105204431738557,0.883271,8.525897724977959,36.973861060310675,23.88973887192613,76.11026112807387,546522.0,15138183.0,2186661.0,1354929.0,1290666.0,808493.0,323689.0,1031240.0,40000009.0,33043646.0,8MB 16way
